R2_Club Atlético Puerto Varas_Estadio Palestino_12, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_13, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_14, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_15, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_16, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_17, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_18, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_19, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_20, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_21, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_22, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_23, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_24, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_25, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_26, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_27, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_28, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_29, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_30, Holgura:0.0
